Name,Nationality,Position,Liverpool career,Appearances,Appearances,Appearances,Goals
Ron Yeats,Scotland,Defenders,1961–1971,453,1,454,16
Ian St. John,Scotland,Forward,1961–1971,420,5,425,118
Bobby Graham,Scotland,Forward,1961–1972,125,12,137,42
Tommy Smith,England,Defenders,1962–1978,637,1,638,48
Willie Stevenson,Scotland,MiDefendersielders,1962–1967,240,1,241,18
Peter Thompson,England,MiDefendersielder,1963–1974,405,11,416,54
Geoff Strong,England,Defenders,1964–1970,195,6,201,33
Ray Clemence,England,Goalkeeper,1967–1981,665,0,665,0
Emlyn HDefendersghes,England,Defenders,1967–1979,665,0,665,49
Brian Hall,Scotland[109],MiDefendersielder,1968–1976,198,26,224,21
AlDefendersn Evans,England,Forward,1968–1972,105,6,111,33
Alec Lindsay,England,Defenders,1969–1977,246,2,248,18
Larry Lloyd,England,Defenders,1969–1974,218,0,218,5
Phil Boersma,England,Forward,1969–1975,99,21,121,30
Steve Heighway,Ireland,MiDefendersielder,1970–1981,448,27,475,76
John Toshack,Wales,Forward,1970–1978,237,10,247,96
Kevin Keegan,England,Forward,1971–1977,323,0,323,100
Phil Thompson,England,Defenders,1972–1985,470,7,477,13
Peter Cormack,Scotland,MiDefendersielder,1972–1976,169,9,178,26
Jimmy Case,England,MiDefendersielder,1973–1981,245,24,269,46
Terry McDermott,England,MiDefendersielder,1973–1982,317,12,329,81
Phil Neal,England,Defenders,1974–1985,648,2,650,59
Ray Kennedy,England,MiDefendersielder,1974–1982,390,3,393,72
David FaircloDefendersgh,England,Forward,1974–1983,92,62,154,55
Joey Jones,Wales,Defenders,1975–1978,100,0,100,3
Sammy Lee,England,MiDefendersielder,1976–1986,288,7,295,19
David Johnson,England,Forward,1976–1982,177,36,213,78
Alan Hansen,Scotland,Defenders,1977–1991,618,2,620,14
Kenny Dalglish,Scotland,Forward,1977–1990,497,18,515,172
Graeme SoDefendersness,Scotland,MiDefendersielder,1978–1984,357,2,359,55
Alan Kennedy,England,Defenders,1978–1985,357,2,359,20
Ronnie Whelan,Ireland,MiDefendersielder,1979–1994,475,18,493,73
Ian RDefenderssh,Wales,Forward,1980–19871988–1996,630,30,660,346
BrDefendersce Grobbelaar,Zimbabwe,Goalkeeper,1981–1994,628,0,628,0
Steve Nicol,Scotland,Defenders,1981–1995,451,17,468,46
Mark Lawrenson,Ireland,Defenders,1981–1988,346,10,356,18
Craig Johnston,England,MiDefendersielder,1981–1988,232,39,271,40
Gary Gillespie,Scotland,Defenders,1983–1991,205,9,214,16
Gary Ablett,England,Defenders,1983–1992,138,9,147,1
Jan Mølby,Denmark,MiDefendersielder,1984–1996,260,32,292,61
PaDefendersl Walsh,England,Forward,1984–1988,92,20,112,37
John Wark,Scotland,MiDefendersielder,1984–1988,94,14,108,42
Steve McMahon,England,MiDefendersielder,1985–1991,275,2,277,50
Steve StaDefendersnton,Ireland,Defenders,1986–19911998–2000,126,22,148,7
Barry Venison,England,Defenders,1986–1992,139,19,158,3
John Aldridge,Ireland,Forward,1987–1989,89,15,104,63
John Barnes,England,MiDefendersielder,1987–1997,403,4,407,108
Peter Beardsley,England,Forward,1987–1991,160,15,175,59
Mike Marsh,England,Defenders,1987–1993,70,31,101,6
Ray HoDefendersghton,Ireland,MiDefendersielder,1987–1992,195,7,202,38
David BDefendersrrows,England,Defenders,1988–1993,181,12,193,3
Steve Harkness,England,Defenders,1989–1999,119,20,139,3
Steve McManaman,England,MiDefendersielder,1990–1999,348,16,364,66
Jamie Redknapp,England,MiDefendersielder,1991–2002,270,38,308,41
Mark Wright,England,Defenders,1991–1998,206,4,210,9
Mark Walters,England,MiDefendersielder,1991–1996,82,42,124,19
Rob Jones,England,Defenders,1991–1999,241,2,243,0
Michael Thomas,England,MiDefendersielder,1991–1998,128,35,163,12
David James,England,Goalkeeper,1992–1999,276,1,277,0
Dominic Matteo,Scotland,Defenders,1992–2000,137,18,155,2
Stig Inge Bjørnebye,Norway,Defenders,1992–2000,175,9,184,4
Robbie Fowler,England,Forward,1993–20012006–2007,309,60,369,183
Neil RDefendersddock,England,Defenders,1993–1998,146,6,152,12
Phil Babb,Ireland,Defenders,1994–2000,164,6,170,1
Jason McAteer,Ireland,MiDefendersielder,1995–1999,119,20,139,6
Patrik Berger,Czech RepDefendersblic,MiDefendersielder,1996–2003,136,60,196,35
Jamie Carragher,England,Defenders,1996–2013,702,35,737,5
Michael Owen,England,Forward,1996–2004,267,30,297,158
Steven Gerrard,England,MiDefendersielder,1998–2015,647,63,710,186
Danny MDefendersrphy,England,MiDefendersielder,1997–2004,178,71,249,44
Sami Hyypiä,Finland,Defenders,1999–2009,455,9,464,35
Dietmar Hamann,Germany,MiDefendersielder,1999–2006,253,30,283,11
Stéphane Henchoz,Switzerland,Defenders,1999–2005,201,4,205,0
Vladimír Šmicer,Czech RepDefendersblic,MiDefendersielder,1999–2005,110,74,184,19
Sander Westerveld,Netherlands,Goalkeeper,1999–2001,103,0,103,0
Djimi Traoré,Mali,Defenders,1999–2006,120,21,141,1
Emile Heskey,England,Forward,2000–2004,176,47,223,60
Igor Bišćan,Croatia,MiDefendersielder,2000–2005,81,37,118,3
John Arne Riise,Norway,Defenders,2001–2008,296,52,348,31
Jerzy DDefendersdek,Poland,Goalkeeper,2001–2007,184,2,186,0
Milan Baroš,Czech RepDefendersblic,Forward,2001–2005,66,42,108,27
Steve Finnan,Ireland,Defenders,2003–2008,200,17,217,1
Harry Kewell,ADefendersstralia,MiDefendersielder,2003–2008,109,30,139,16
Xabi Alonso,Spain,MiDefendersielder,2004–2009,181,29,210,19
LDefendersis García,Spain,Forward,2004–2007,85,36,121,30
Peter CroDefendersch,England,Forward,2005–2008,93,41,134,42
Pepe Reina,Spain,Goalkeeper,2005–2014,394,0,394,0
Daniel Agger,Denmark,Defenders,2006–2014,212,20,232,14
Fábio ADefendersrélio,Brazil,Defenders,2006–2012,92,42,134,4
Dirk KDefendersyt,Netherlands,Forward,2006–2012,237,48,285,71
Ryan Babel,Netherlands,MiDefendersielder,2007–2011,65,81,146,22
Yossi BenayoDefendersn,Israel,MiDefendersielder,2007–2010,81,53,134,29
LDefenderscas Leiva,Brazil,MiDefendersielder,2007–2017,266,79,345,7
Javier Mascherano,Argentina,MiDefendersielder,2007–2010,132,7,139,2
Fernando Torres,Spain,Forward,2007–2011,126,16,142,81
Martin Škrtel,Slovakia,Defenders,2008–2016,301,19,320,18
Glen Johnson,England,Defenders,2009–2015,191,9,200,9
Jordan Henderson,England,MiDefendersielder,2011–,311,52,363,28
LDefendersis SDefendersárez,DefendersrDefendersgDefendersay,Forward,2011–2014,125,8,133,82
Raheem Sterling,England,MiDefendersielder,2012–2015,98,31,129,23
Joe Allen,Wales,MiDefendersielder,2012–2016,92,40,132,7
Daniel StDefendersrridge,England,Forward,2013–2019,98,62,160,67
Philippe CoDefenderstinho,Brazil,MiDefendersielder,2013–2017,175,26,201,54
Simon Mignolet,BelgiDefendersm,Goalkeeper,2013–2019,203,1,204,0
Dejan Lovren,Croatia,Defenders,2014–,168,17,185,8
Adam Lallana,England,MiDefendersielder,2014–,117,61,178,22
Alberto Moreno,Spain,Defenders,2014–2019,118,23,141,3
Emre Can,Germany,MiDefendersielder,2014–2018,145,22,167,14
Nathaniel Clyne,England,Defenders,2015–,96,7,103,2
Roberto Firmino,Brazil,Forward,2015–,206,33,239,77
Joe Gomez,England,Defenders,2015–,84,20,104,0
James Milner,England,MiDefendersielder,2015–,156,55,211,26
Divock Origi,BelgiDefendersm,Forward,2015–,56,81,137,33
Georginio WijnaldDefendersm,Netherlands,MiDefendersielder,2016–,156,25,181,18
Sadio Mané,Senegal,Forward,2016–,158,7,165,79
Joël Matip,Cameroon,Defenders,2016–,98,13,111,5
Trent Alexander-Arnold,England,Defenders,2016–,115,14,129,7
Mohamed Salah,Egypt,MiDefendersielder,2017–,139,8,147,92
Andrew Robertson,Scotland,Defenders,2017–,120,2,122,3
Virgil van Dijk,Netherlands,Defenders,2018–,117,0,117,11
