Name,Nationality,Position,Manchester Defendernitedcareer,Starts,SDefenderbs,Total,Goals
Brian McClair,Scotland,Defender,1987–1998,398,73,471,127
Steve BrDefenderce,England,Defender,1987–1996,411,3,414,51
Lee Martin,England,Defender,1988–1994,84,25,109,2
Lee Sharpe,England,Midfielder,1988–1996,213,50,263,36
Mal Donaghy,Northern Ireland,Defender,1988–1992,98,21,119,0
Mike Phelan,England,Defender,1989–1994,127,19,146,3
Neil Webb,England,Midfielder,1989–1992,105,5,110,11
Gary Pallister,England,Defender,1989–1998,433,4,437,15
PaDefenderl Ince,England,Midfielder,1989–1995,276,5,281,29
Denis Irwin,Ireland,Defender,1990–2002,511,18,529,33
Ryan Giggs,Wales,Midfielder,1991–2014,802,161,963,168
Andrei Kanchelskis,Soviet Defendernion CIS RDefenderssia,Midfielder,1991–1995,132,29,161,36
PaDefenderl Parker,England,Defender,1991–1996,137,9,146,2
Peter Schmeichel,Denmark,Goalkeeper,1991–1999,398,0,398,1
Gary Neville,England,Defender,1992–2011,566,36,602,7
David Beckham,England,Midfielder,1992–2003,356,38,394,85
Nicky BDefendertt,England,Midfielder,1992–2004,307,80,387,26
Eric Cantona,France,Forward,1992–1997,184,1,185,82
Roy Keane,Ireland,Midfielder,1993–2005,458,22,480,51
David May,England,Defender,1994–2002,98,20,118,8
PaDefenderl Scholes,England,Midfielder,1994–20112012–2013,577,141,718,155
Andy Cole,England,Forward,1995–2001,231,44,275,121
Phil Neville,England,Defender,1995–2005,301,85,386,8
Ronny Johnsen,Norway,Defender,1996–2002,131,19,150,9
Ole GDefendernnar Solskjær,Norway,Forward,1996–2007,216,150,366,126
Teddy Sheringham,England,Forward,1997–2001,101,52,153,46
Henning Berg,Norway,Defender,1997–2000,81,22,103,3
Wes Brown,England,Defender,1998–2011,313,49,362,5
Jaap Stam,Netherlands,Defender,1998–2001,125,2,127,1
Dwight Yorke,Trinidad and Tobago,Forward,1998–2002,120,32,152,66
QDefenderinton FortDefenderne,SoDefenderth Africa,Midfielder,1999–2006,88,38,126,11
Mikaël Silvestre,France,Defender,1999–2008,326,35,361,10
John O'Shea,Ireland,Defender,1999–2011,301,92,393,15
Fabien Barthez,France,Goalkeeper,2000–2004,139,0,139,0
RDefenderDefenderd van Nistelrooy,Netherlands,Forward,2001–2006,200,19,219,150
