Name,Nationality,Position[NB],Barcelona career,Captaincy[9],League appearances,League goals
Javier Saviola,Argentina,Forward,2001–20042006–2007,—,123,49
Oleguer,Spain,Defender,2001–2008,—,127,1
Víctor Valdés*,Spain,Goalkeeper,2002–2014,—,387,0
Andrés Iniesta*,Spain,Midfielder,2002–2018,2015–2018,442,35
Ronaldinho,Brazil,Forward,2003–2008,—,145,70
Giovanni van Bronckhorst,Netherlands,Defender,2003–2007,—,105,5
Rafael Márquez,Mexico,Defender,2003–2010,—,163,9
Deco,Portugal,Midfielder,2004–2008,—,113,13
Samuel Eto'o,Cameroon,Forward,2004–2009,—,144,108
Lionel Messi *,Argentina,Forward,2004–,2018—,414,378
Gianluca Zambrotta,Italy,Forward,2007–2011,—,58,3
Bojan,Spain,Forward,2007–2011,—,104,26
Yaya Touré,Ivory Coast,Midfielder,2007–2010,—,74,4
Eric Abidal,France,Defender,2007–2013,—,125,0
Dani Alves,Brazil,Defender,2008–2016,—,247,14
Seydou Keita,Mali,Midfielder,2008–2012,—,119,16
Sergio Busquets,Spain,Midfielder,2008–,—,306,7
Gerard Piqué,Spain,Defender,2008–,—,271,23
Pedro *,Spain,Winger,2008–2015,—,204,58
Adriano,Brazil,Defender,2010–2016,—,114,9
David Villa,Spain,Forward,2010–2013,—,77,33
Javier Mascherano,Argentina,Defender,2010–2018,—,203,1
Jordi Alba,Spain,Defender,2012–,—,157,6
Neymar *,Brazil,Forward,2013–2017,—,123,68
Luis Suárez *,Uruguay,Forward,2014–,—,125,108
Ivan Rakitić *,Croatia,Midfielder,2014–,—,129,21
